,Daily Retail Super Sales Report As of 12-04-2023,,,,,,,,,
,,,,,,,,,,
Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Office-City,Region
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,New York-USA,South
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,Lund-Sweden,East
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,Hong Kong-China,West
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,Nice-France,North
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,Seattle-USA,South
6,25-04-2023,CUST006,Female,45,Beauty, ,30,30,Atlantic City-USA,East
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,Los Angeles-USA,West
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,Lund-Sweden,North
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,Hong Kong-China,South
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,Nice-France,East
11,14-02-2023,CUST011,Male,23,Clothing, ,50,100,Lund-Sweden,West
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,Hong Kong-China,North
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,Nice-France,South
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,Lund-Sweden,East
15,16-01-2023,CUST015,Female,42,Electronics, ,500,2000,Hong Kong-China,West
16,17-02-2023,CUST016,Male,19,Clothing, ,500,1500,Nice-France,North
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,New York-USA,South
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,Lund-Sweden,East
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,Hong Kong-China,West
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,Nice-France,North
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,Seattle-USA,South
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,Atlantic City-USA,East
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,Los Angeles-USA,West
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,Lund-Sweden,North
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,Hong Kong-China,South
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,Nice-France,East
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,Lund-Sweden,West
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,Hong Kong-China,North
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,Nice-France,South
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,Lund-Sweden,East
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,Hong Kong-China,West
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,Nice-France,North
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,New York-USA,South
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,Lund-Sweden,East
35,05-08-2023,CUST035,Female,58,Beauty, ,300,900,Hong Kong-China,West
36,24-06-2023,CUST036,Male,52,Beauty, ,300,900,Nice-France,North
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,Seattle-USA,South
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,Atlantic City-USA,East
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,Los Angeles-USA,West
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,Lund-Sweden,North
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,Hong Kong-China,South
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,Nice-France,East
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,Lund-Sweden,West
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,Hong Kong-China,North
45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,Nice-France,South
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,Lund-Sweden,East
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,Hong Kong-China,West
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,Nice-France,North
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,New York-USA,South
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,Lund-Sweden,East
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,Hong Kong-China,West
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,Nice-France,North
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,Seattle-USA,South
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,Atlantic City-USA,East
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,Los Angeles-USA,West
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,Lund-Sweden,North
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,Hong Kong-China,South
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,Nice-France,East
59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,Lund-Sweden,West
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,Hong Kong-China,North
61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,Nice-France,South
62,27-12-2023,CUST062,Male,18,Beauty,2,50,100,Lund-Sweden,East
63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,Hong Kong-China,West
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,Nice-France,North
65,05-12-2023,CUST065,Male,51,Electronics,4,500,2000,New York-USA,South
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,Lund-Sweden,East
67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200,Hong Kong-China,West
68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,Nice-France,North
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,Seattle-USA,South
,,,,,,,,,Atlantic City-USA,East
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,Los Angeles-USA,West
71,14-07-2023,CUST071,Female,51,Beauty,4,25,100,Lund-Sweden,North
72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000,Hong Kong-China,South
73,21-08-2023,CUST073,Male,29,Electronics,3,30,90,Nice-France,East
74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000,Lund-Sweden,West
75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,Hong Kong-China,North
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,Nice-France,South
77,09-07-2023,CUST077,Female,47,Clothing,2,50,100,Lund-Sweden,East
78,01-07-2023,CUST078,Female,47,Clothing,3,500,1500,Hong Kong-China,West
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,Nice-France,North
80,10-12-2023,CUST080,Female,64,Clothing,2,30,60,New York-USA,South
,,,,,,,,,Lund-Sweden,East
81,17-05-2023,CUST081,Male,40,Electronics,1,50,50,Hong Kong-China,West
82,26-12-2023,CUST082,Female,32,Beauty,4,50,200,Nice-France,North
83,16-12-2023,CUST083,Male,54,Electronics,2,50,100,Seattle-USA,South
84,28-11-2023,CUST084,Female,38,Electronics,3,30,90,Atlantic City-USA,East
85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,Los Angeles-USA,West
86,08-11-2023,CUST086,Male,19,Beauty,3,30,90,Lund-Sweden,North
87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,Hong Kong-China,South
88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,Nice-France,East
89,01-10-2023,CUST089,Female,55,Electronics,4,500,2000,Lund-Sweden,West
90,06-05-2023,CUST090,Female,51,Electronics,1,30,30,Hong Kong-China,North
91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,Nice-France,South
92,25-08-2023,CUST092,Female,51,Electronics,4,30,120,Lund-Sweden,East
93,14-07-2023,CUST093,Female,35,Beauty,4,500,2000,Hong Kong-China,West
94,19-05-2023,CUST094,Female,47,Beauty,2,500,1000,Nice-France,North
95,24-11-2023,CUST095,Female,32,Clothing,2,30,60,New York-USA,South
96,19-12-2023,CUST096,Female,44,Clothing,2,300,600,Lund-Sweden,East
97,13-10-2023,CUST097,Female,51,Beauty,2,500,1000,Hong Kong-China,West
98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,Nice-France,North
